Animal,Animal_path,Camera,UAV_path,Speed,Bias,Total_hits,Actual_hits
whale_shark,straight,sony,figure8,2,no,0,0
whale_shark,straight,nadir,lawnmower,1,yes,12,2
whale_shark,straight,nadir,lawnmower,1,no,12,2
whale_shark,straight,nadir,lawnmower,2,yes,12,2
whale_shark,straight,nadir,lawnmower,2,no,11,2
whale_shark,straight,nadir,figure8,1,yes,0,0
whale_shark,straight,nadir,figure8,1,no,0,0
whale_shark,straight,nadir,figure8,2,yes,0,0
whale_shark,straight,nadir,figure8,2,no,0,0
whale_shark,stop25,garmin,lawnmower,1,yes,9,2
whale_shark,stop25,garmin,lawnmower,1,no,9,2
whale_shark,stop25,garmin,lawnmower,2,yes,7,2
whale_shark,stop25,garmin,lawnmower,2,no,8,2
whale_shark,stop25,garmin,figure8,1,yes,0,0
whale_shark,stop25,garmin,figure8,1,no,0,0
whale_shark,stop25,garmin,figure8,2,yes,0,0
whale_shark,stop25,garmin,figure8,2,no,0,0
whale_shark,stop25,sony,lawnmower,1,yes,0,0
whale_shark,stop25,sony,lawnmower,1,no,0,0
whale_shark,stop25,sony,lawnmower,2,yes,0,0
whale_shark,stop25,sony,lawnmower,2,no,0,0
whale_shark,stop25,sony,figure8,1,yes,0,0
whale_shark,stop25,sony,figure8,1,no,0,0
whale_shark,stop25,sony,figure8,2,yes,0,0
whale_shark,stop25,sony,figure8,2,no,0,0
whale_shark,stop25,nadir,lawnmower,1,yes,12,2
whale_shark,stop25,nadir,lawnmower,1,no,12,2
whale_shark,stop25,nadir,lawnmower,2,yes,11,2
whale_shark,stop25,nadir,lawnmower,2,no,12,2
whale_shark,stop25,nadir,figure8,1,yes,0,0
whale_shark,stop25,nadir,figure8,1,no,0,0
whale_shark,stop25,nadir,figure8,2,yes,0,0
whale_shark,stop25,nadir,figure8,2,no,0,0
whale_shark,stop50,garmin,lawnmower,1,yes,9,2
whale_shark,stop50,garmin,lawnmower,1,no,8,2
whale_shark,stop50,garmin,lawnmower,2,yes,7,2
whale_shark,stop50,garmin,lawnmower,2,no,9,2
whale_shark,stop50,garmin,figure8,1,yes,0,0
whale_shark,stop50,garmin,figure8,1,no,0,0
whale_shark,stop50,garmin,figure8,2,yes,0,0
whale_shark,stop50,garmin,figure8,2,no,0,0
whale_shark,stop50,sony,lawnmower,1,yes,0,0
whale_shark,stop50,sony,lawnmower,1,no,0,0
whale_shark,stop50,sony,lawnmower,2,yes,0,0
whale_shark,stop50,sony,lawnmower,2,no,0,0
whale_shark,stop50,sony,figure8,1,yes,0,0
whale_shark,stop50,sony,figure8,1,no,0,0
whale_shark,stop50,sony,figure8,2,yes,0,0
whale_shark,stop50,sony,figure8,2,no,0,0
whale_shark,stop50,nadir,lawnmower,1,yes,12,2
whale_shark,stop50,nadir,lawnmower,1,no,14,2
whale_shark,stop50,nadir,lawnmower,2,yes,12,2
whale_shark,stop50,nadir,lawnmower,2,no,11,2
whale_shark,stop50,nadir,figure8,1,yes,0,0
whale_shark,stop50,nadir,figure8,1,no,0,0
whale_shark,stop50,nadir,figure8,2,yes,0,0
whale_shark,stop50,nadir,figure8,2,no,0,0
whale_shark,stop75,garmin,lawnmower,1,yes,8,2
whale_shark,stop75,garmin,lawnmower,1,no,9,2
whale_shark,stop75,garmin,lawnmower,2,yes,7,2
whale_shark,stop75,garmin,lawnmower,2,no,9,2
whale_shark,stop75,garmin,figure8,1,yes,0,0
whale_shark,stop75,garmin,figure8,1,no,0,0
whale_shark,stop75,garmin,figure8,2,yes,0,0
whale_shark,stop75,garmin,figure8,2,no,0,0
whale_shark,stop75,sony,lawnmower,1,yes,0,0
whale_shark,stop75,sony,lawnmower,1,no,0,0
whale_shark,stop75,sony,lawnmower,2,yes,0,0
whale_shark,stop75,sony,lawnmower,2,no,0,0
whale_shark,stop75,sony,figure8,1,yes,0,0
whale_shark,stop75,sony,figure8,1,no,0,0
